         1695 function calls (1693 primitive calls) in 0.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
        1    0.000    0.000    0.000    0.000 events.py:728(_init_event_loop_policy)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.socketpair}
        1    0.000    0.000    0.000    0.000 __init__.py:1403(_clear_cache)
        2    0.000    0.000    0.000    0.000 selectors.py:70(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:902(createLock)
        6    0.000    0.000    0.000    0.000 base_futures.py:14(isfuture)
       17    0.000    0.000    0.000    0.000 threading.py:1430(current_thread)
        1    0.000    0.000    0.000    0.000 selectors.py:533(unregister)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x1010cf250}
        1    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:235(register)
        1    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
       17    0.000    0.000    0.000    0.000 __init__.py:359(getMessage)
        8    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       17    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        1    0.000    0.000    0.000    0.000 selectors.py:510(__init__)
        6    0.000    0.000    0.000    0.000 base_events.py:696(time)
        2    0.000    0.000    0.000    0.000 events.py:776(set_event_loop)
        2    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 coroutines.py:18(_is_debug_mode)
       17    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       56    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 selectors.py:579(close)
    26/24    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        7    0.000    0.000    0.000    0.000 {built-in method _asyncio._get_running_loop}
       34    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
